;x;y;presence_effaroucheur;nb_sain;nb_tige;nb_coty;surface;ecartement;annee;cailloux;ID;region;adventice;inter_plant;effaroucheur;sol;nombre_segments;date;ravageurs;transect;nb_arrachees;nb_taupins;nb_limace;nb_lievre;sains;estim_dens;leves;viables;taux_lesions;taux_detruits
81;-0.4645215;46.42083277;NA;37307.69231;0;18461.53846;NA;65;2019;NA;60_PC_2019;PC;faible_pression;21;;inconnue;8;09/05/2019;Non;NA;NA;NA;NA;NA;NA;7.326007326;55769.23077;55769.23077;0.331034483;0
82;0.663045503;43.74774738;NA;16363.63636;1454.545455;17090.90909;1.97;55;2019;NA;103_Gers_2019;GERS;faible_pression;NA;;argilo_calcaire;5;21/05/2019;Limaces.Taupins;A;NA;NA;NA;NA;NA;NA;34909.09091;33454.54545;0.489583333;0.041666667
83;0.725513588;43.74937138;NA;22142.85714;12380.95238;19285.71429;33;60;2019;NA;23_Gers_2019;GERS;faible_pression;27;;argilo_calcaire;7;26/04/2019;Limaces.Taupins;A;NA;NA;NA;NA;NA;6.172839506;53809.52381;41428.57143;0.35840708;0.230088496
84;-0.77224801;46.22947213;NA;64285.71429;0;11904.7619;NA;70;2019;NA;98_PC_2019;PC;faible_pression;20;;inconnue;6;14/05/2019;Non;NA;NA;NA;NA;NA;NA;7.142857143;76190.47619;76190.47619;0.15625;0
85;1.006454828;43.51185397;NA;25500;1500;12000;6.86;80;2019;NA;122_Gers_2019;GERS;faible_pression;NA;;Boulbene ;5;23/05/2019;Lievres.Limaces;B;NA;NA;NA;NA;NA;NA;39000;37500;0.307692308;0.038461538
86;0.563691119;43.93035818;NA;47333.33333;4333.333333;9666.666667;10.3;60;2019;NA;90_Gers_2019;GERS;faible_pression;23;;argilo_calcaire;5;13/05/2019;Taupins;C;NA;NA;NA;NA;NA;7.246376812;61333.33333;57000;0.157608696;0.070652174
87;-1.04347302;46.17675844;NA;10724.63768;8695.652174;37681.15942;NA;69;2019;NA;48_PC_2019;PC;faible_pression;20;canon_gaz;inconnue;5;06/05/2019;Non;NA;NA;NA;NA;NA;NA;7.246376812;57101.44928;48405.7971;0.659898477;0.152284264
88;-0.50029351;46.13274374;NA;16017.31602;13419.91342;8008.658009;NA;66;2019;NA;75_PC_2019;PC;faible_pression;22;Ballon_cerfs_volants;inconnue;7;09/05/2019;Non;NA;NA;NA;NA;NA;NA;6.887052342;37445.88745;24025.97403;0.213872832;0.358381503
89;0.467568208;43.97801206;NA;57666.66667;2333.333333;4000;10.8;60;2019;NA;107_Gers_2019;GERS;faible_pression;23;;argilo_calcaire;5;22/05/2019;Lievres;C;NA;NA;NA;NA;NA;7.246376812;64000;61666.66667;0.0625;0.036458333
90;0.417162459;43.9715976;NA;126666.6667;0;16666.66667;1.1;30;2019;NA;108_Gers_2019;GERS;forte_pression;17;;argilo_calcaire;5;22/05/2019;Non;C;NA;NA;NA;NA;NA;19.60784314;143333.3333;143333.3333;0.11627907;0
