parcelle;date;NDVI_moy
TIrosieres1;17/05/2022;5542
TIrosieres1;24/05/2022;6598
TIrosieres1;06/06/2022;5507
TIrosieres1;11/06/2022;6993
TIrosieres1;13/06/2022;6240
TIrosieres1;18/06/2022;5879
TIrosieres1;23/06/2022;6101
TIrosieres1;28/06/2022;5299
TIrosieres1;03/07/2022;4906
TIrosieres1;08/07/2022;4644
TIrosieres1;13/07/2022;4233
TIrosieres1;16/07/2022;3969
TIrosieres1;18/07/2022;3602
TIrosieres1;31/07/2022;2780
TIrosieres1;02/08/2022;2136
TIrosieres1;07/08/2022;2528
TIrosieres1;10/08/2022;2348
TIrosieres1;12/08/2022;2077
TIrosieres1;17/08/2022;2096
TIrosieres1;20/08/2022;2301
TIrosieres1;22/08/2022;1850
TIrosieres1;25/08/2022;1813
TIrosieres1;30/08/2022;1861
TIrosieres3;04/04/2022;2283
TIrosieres3;17/04/2022;2257
TIrosieres3;22/04/2022;2423
TIrosieres3;04/05/2022;2201
TIrosieres3;07/05/2022;2384
TIrosieres3;09/05/2022;2228
TIrosieres3;14/05/2022;2834
TIrosieres3;17/05/2022;2385
TIrosieres3;06/06/2022;3685
TIrosieres3;11/06/2022;3429
TIrosieres3;13/06/2022;4321
TIrosieres3;18/06/2022;4996
TIrosieres3;23/06/2022;5851
TIrosieres3;28/06/2022;6587
TIrosieres3;03/07/2022;6517
TIrosieres3;08/07/2022;6085
TIrosieres3;13/07/2022;5119
TIrosieres3;16/07/2022;4663
TIrosieres3;18/07/2022;4224
TIrosieres3;31/07/2022;3766
TIrosieres3;02/08/2022;3329
TIrosieres3;07/08/2022;3376
TIrosieres3;10/08/2022;3048
TIrosieres3;12/08/2022;2825
TIrosieres3;17/08/2022;2615
TIrosieres3;20/08/2022;3182
TIrosieres3;22/08/2022;2645
TIrosieres3;25/08/2022;2570
TIrosieres3;30/08/2022;2403
TIrosieres4;04/04/2022;1989
TIrosieres4;17/04/2022;2080
TIrosieres4;22/04/2022;2368
TIrosieres4;04/05/2022;2070
TIrosieres4;07/05/2022;2107
TIrosieres4;09/05/2022;1960
TIrosieres4;14/05/2022;2608
TIrosieres4;17/05/2022;1994
TIrosieres4;06/06/2022;3520
TIrosieres4;11/06/2022;3780
TIrosieres4;13/06/2022;4001
TIrosieres4;18/06/2022;4698
TIrosieres4;23/06/2022;5453
TIrosieres4;28/06/2022;5226
TIrosieres4;03/07/2022;5888
TIrosieres4;08/07/2022;5395
TIrosieres4;13/07/2022;4531
TIrosieres4;16/07/2022;4118
TIrosieres4;18/07/2022;3758
TIrosieres4;31/07/2022;3257
TIrosieres4;02/08/2022;2987
TIrosieres4;07/08/2022;2876
TIrosieres4;10/08/2022;2682
TIrosieres4;12/08/2022;2419
TIrosieres4;17/08/2022;1595
TIrosieres4;20/08/2022;2623
TIrosieres4;22/08/2022;2201
TIrosieres4;25/08/2022;2217
TIrosieres4;30/08/2022;2121
TIvillers5;04/04/2022;1665
TIvillers5;17/04/2022;1798
TIvillers5;22/04/2022;2133
TIvillers5;04/05/2022;1937
TIvillers5;07/05/2022;2121
TIvillers5;09/05/2022;1799
TIvillers5;14/05/2022;2133
TIvillers5;17/05/2022;2148
TIvillers5;11/06/2022;6195
TIvillers5;13/06/2022;6417
TIvillers5;18/06/2022;6544
TIvillers5;23/06/2022;6167
TIvillers5;28/06/2022;5860
TIvillers5;03/07/2022;7384
TIvillers5;08/07/2022;6631
TIvillers5;13/07/2022;5912
TIvillers5;16/07/2022;5421
TIvillers5;18/07/2022;4790
TIvillers5;31/07/2022;3903
TIvillers5;02/08/2022;3652
TIvillers5;07/08/2022;3243
TIvillers5;10/08/2022;2893
TIvillers5;12/08/2022;2645
TIvillers5;17/08/2022;2874
TIvillers5;20/08/2022;2800
TIvillers5;22/08/2022;2579
TIvillers5;25/08/2022;2498
TIvillers5;30/08/2022;2377
TIvillers6;04/04/2022;1484
TIvillers6;17/04/2022;1676
TIvillers6;22/04/2022;1812
TIvillers6;04/05/2022;1517
TIvillers6;07/05/2022;1937
TIvillers6;09/05/2022;1681
TIvillers6;14/05/2022;2133
TIvillers6;17/05/2022;2140
TIvillers6;11/06/2022;7150
TIvillers6;13/06/2022;6709
TIvillers6;18/06/2022;7369
TIvillers6;23/06/2022;6346
TIvillers6;28/06/2022;7089
TIvillers6;03/07/2022;8263
TIvillers6;08/07/2022;7658
TIvillers6;13/07/2022;6825
TIvillers6;16/07/2022;6297
TIvillers6;18/07/2022;5737
TIvillers6;31/07/2022;4595
TIvillers6;02/08/2022;4335
TIvillers6;07/08/2022;3579
TIvillers6;10/08/2022;3027
TIvillers6;12/08/2022;2686
TIvillers6;17/08/2022;2821
TIvillers6;20/08/2022;2768
TIvillers6;22/08/2022;2508
TIvillers6;25/08/2022;2458
TIvillers6;30/08/2022;2316
TIvillers7;04/04/2022;1361
TIvillers7;17/04/2022;1590
TIvillers7;22/04/2022;1814
TIvillers7;04/05/2022;1502
TIvillers7;07/05/2022;1662
TIvillers7;09/05/2022;1529
TIvillers7;14/05/2022;2077
TIvillers7;17/05/2022;1890
TIvillers7;11/06/2022;7108
TIvillers7;18/06/2022;7338
TIvillers7;28/06/2022;7533
TIvillers7;03/07/2022;6897
TIvillers7;08/07/2022;6998
TIvillers7;13/07/2022;6329
TIvillers7;16/07/2022;5814
TIvillers7;18/07/2022;5148
TIvillers7;31/07/2022;3948
TIvillers7;02/08/2022;3729
TIvillers7;07/08/2022;3194
TIvillers7;10/08/2022;2786
TIvillers7;12/08/2022;2496
TIvillers7;17/08/2022;2573
TIvillers7;20/08/2022;2628
TIvillers7;22/08/2022;2218
TIvillers7;25/08/2022;2143
TIvillers7;30/08/2022;2258
TIvillers8;04/04/2022;1425
TIvillers8;17/04/2022;1654
TIvillers8;22/04/2022;2280
TIvillers8;04/05/2022;1721
TIvillers8;07/05/2022;1774
TIvillers8;09/05/2022;1707
TIvillers8;14/05/2022;2298
TIvillers8;17/05/2022;2312
TIvillers8;11/06/2022;6639
TIvillers8;18/06/2022;7071
TIvillers8;03/07/2022;7462
TIvillers8;08/07/2022;6634
TIvillers8;13/07/2022;5847
TIvillers8;16/07/2022;5260
TIvillers8;18/07/2022;4807
TIvillers8;31/07/2022;3930
TIvillers8;02/08/2022;3553
TIvillers8;07/08/2022;3028
TIvillers8;10/08/2022;2516
TIvillers8;12/08/2022;2224
TIvillers8;17/08/2022;2002
TIvillers8;20/08/2022;2106
TIvillers8;22/08/2022;1807
TIvillers8;25/08/2022;1835
TIvillers8;30/08/2022;2051
